Gene ID,Gene symbol,Enzyme,UniProt,Enzymatic reactions
ENSG00000010671,BTK,non-specific protein-tyrosine kinase,Q06187,ATP[c] + [protein]-L-tyrosine[c] => ADP[c] + [protein]-tyrosine-phosphate[c]
ENSG00000010671,BTK,dual-specificity kinase,Q06187,ATP[c] + [protein]-L-tyrosine[c] => ADP[c] + [protein]-tyrosine-phosphate[c]
ENSG00000010671,BTK,mitogen-activated protein kinase kinase,Q06187,ATP[c] + [protein]-L-tyrosine[c] => ADP[c] + [protein]-tyrosine-phosphate[c]
ENSG00000012779,ALOX5,arachidonate 5-lipoxygenase,P09917,EPA[n] + O2[n] => 5(S)-HpEPE[n]
ENSG00000012779,ALOX5,arachidonate 5-lipoxygenase,P09917,"15(R)-HETE[r] + O2[r] => (5S,6S)-epoxy-(15R)-hydroxy-ETE[r] + H2O[r]"
ENSG00000012779,ALOX5,arachidonate 5-lipoxygenase,P09917,"5(S)-HETE[c] + 2 H+[c] + O2[c] => 5,15-DiHETE[c] + H2O[c]"
ENSG00000012779,ALOX5,arachidonate 5-lipoxygenase,P09917,EPA[c] + O2[c] => 5(S)-HpEPE[c]
ENSG00000012779,ALOX5,arachidonate 12-lipoxygenase,P09917,"H+[n] + NADPH[n] + O2[n] + leukotriene A4[n] => 5,6-epoxytetraene[n] + H2O[n] + NADP+[n]"
ENSG00000012779,ALOX5,arachidonate 5-lipoxygenase,P09917,"H+[n] + NADPH[n] + O2[n] + leukotriene A4[n] => 5,6-epoxytetraene[n] + H2O[n] + NADP+[n]"
ENSG00000012779,ALOX5,arachidonate 5-lipoxygenase,P09917,"15(R)-HEPE[n] + O2[n] => 5(S),6(S)-epoxy-15(R)-HEPE[n] + H2O[n]"
ENSG00000012779,ALOX5,arachidonate 5-lipoxygenase,P09917,"(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic acid[c] + O2[c] <=> 5,6-epoxy,(18R)-HEPE[c] + H2O[c]"
ENSG00000012779,ALOX5,arachidonate 5-lipoxygenase,P09917,"15(S)-HPETE[c] + O2[c] => 5,6-epoxytetraene[c] + H2O2[c]"
ENSG00000012779,ALOX5,arachidonate 5-lipoxygenase,P09917,"15(R)-HETE[c] + O2[c] => (5S,6S)-epoxy-(15R)-hydroxy-ETE[c] + H2O[c]"
ENSG00000012779,ALOX5,arachidonate 5-lipoxygenase,P09917,"15(R)-HEPE[r] + O2[r] => 5(S),6(S)-epoxy-15(R)-HEPE[r] + H2O[r]"
ENSG00000012779,ALOX5,arachidonate 12-lipoxygenase,P09917,"5,6-epoxytetraene[c] + H2O[c] + NADP+[c] <=> H+[c] + NADPH[c] + O2[c] + leukotriene A4[c]"
ENSG00000012779,ALOX5,arachidonate 5-lipoxygenase,P09917,"5,6-epoxytetraene[c] + H2O[c] + NADP+[c] <=> H+[c] + NADPH[c] + O2[c] + leukotriene A4[c]"
ENSG00000012779,ALOX5,arachidonate 5-lipoxygenase,P09917,"15(R)-HETE[p] + O2[p] => (5S,6S)-epoxy-(15R)-hydroxy-ETE[p] + H2O[p]"
ENSG00000012779,ALOX5,arachidonate 5-lipoxygenase,P09917,"15(S)-HPETE[p] + O2[p] => 5,6-epoxytetraene[p] + H2O2[p]"
ENSG00000012779,ALOX5,arachidonate 5-lipoxygenase,P09917,5(S)-HPETE[c] => H2O[c] + leukotriene A4[c]
ENSG00000012779,ALOX5,arachidonate 5-lipoxygenase,P09917,12(S)-HETE[r] + 2 H+[r] + O2[r] => H2O[r] + leukotriene B4[r]
ENSG00000012779,ALOX5,arachidonate 5-lipoxygenase,P09917,"(18R)-HEPE[c] + O2[c] => 5,6-epoxy,(18R)-HEPE[c] + H2O[c]"
ENSG00000012779,ALOX5,arachidonate 5-lipoxygenase,P09917,"15(R)-HEPE[p] + O2[p] => 5(S),6(S)-epoxy-15(R)-HEPE[p] + H2O[p]"
ENSG00000012779,ALOX5,arachidonate 5-lipoxygenase,P09917,"14,15-DiHETE[n] + 2 H+[n] + O2[n] => H2O[n] + lipoxin B4[n]"
ENSG00000012779,ALOX5,arachidonate 5-lipoxygenase,P09917,"15(S)-HPETE[n] + O2[n] => 5,6-epoxytetraene[n] + H2O2[n]"
ENSG00000012779,ALOX5,arachidonate 5-lipoxygenase,P09917,"14,15-DiHETE[c] + 2 H+[c] + O2[c] => H2O[c] + lipoxin B4[c]"
ENSG00000012779,ALOX5,arachidonate 5-lipoxygenase,P09917,12(S)-HETE[c] + 2 H+[c] + O2[c] => H2O[c] + leukotriene B4[c]
ENSG00000012779,ALOX5,arachidonate 5-lipoxygenase,P09917,"15(S)-HPETE[r] + O2[r] => 5,6-epoxytetraene[r] + H2O2[r]"
ENSG00000012779,ALOX5,arachidonate 5-lipoxygenase,P09917,"15(R)-HEPE[c] + O2[c] => 5(S),6(S)-epoxy-15(R)-HEPE[c] + H2O[c]"
ENSG00000012779,ALOX5,arachidonate 5-lipoxygenase,P09917,O2[c] + arachidonate[c] => 5(S)-HPETE[c]
ENSG00000016391,CHDH,choline dehydrogenase,Q8NE62,NAD+[c] + choline[c] => H+[c] + NADH[c] + betaine_aldehyde[c]
ENSG00000018280,SLC11A1,Macrophage and intestinal divalent cation (Mn2+ > Fe2+),P49279,Fe2+[s] + H+[s] => Fe2+[c] + H+[c]
ENSG00000025708,TYMP,purine-nucleoside phosphorylase,P19971,2-deoxy-D-ribose-1-phosphate[c] + hypoxanthine[c] <=> Pi[c] + deoxyinosine[c]
ENSG00000025708,TYMP,thymidine phosphorylase,P19971,2-deoxy-D-ribose-1-phosphate[c] + hypoxanthine[c] <=> Pi[c] + deoxyinosine[c]
ENSG00000025708,TYMP,purine-nucleoside phosphorylase,P19971,2-deoxy-D-ribose-1-phosphate[c] + adenine[c] <=> Pi[c] + deoxyadenosine[c]
ENSG00000025708,TYMP,thymidine phosphorylase,P19971,2-deoxy-D-ribose-1-phosphate[c] + adenine[c] <=> Pi[c] + deoxyadenosine[c]
ENSG00000025708,TYMP,purine-nucleoside phosphorylase,P19971,2-deoxy-D-ribose-1-phosphate[c] + guanine[c] <=> Pi[c] + deoxyguanosine[c]
ENSG00000025708,TYMP,thymidine phosphorylase,P19971,2-deoxy-D-ribose-1-phosphate[c] + guanine[c] <=> Pi[c] + deoxyguanosine[c]
ENSG00000025708,TYMP,thymidine phosphorylase,P19971,2-deoxy-D-ribose-1-phosphate[c] + thymine[c] <=> Pi[c] + thymidine[c]
ENSG00000025708,TYMP,deoxyuridine phosphorylase,P19971,2-deoxy-D-ribose-1-phosphate[c] + uracil[c] <=> Pi[c] + deoxyuridine[c]
ENSG00000027075,PRKCH,non-specific serine/threonine protein kinase,P24723,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000027075,PRKCH,Fas-activated serine/threonine kinase,P24723,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000027075,PRKCH,Goodpasture-antigen-binding protein kinase,P24723,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000027075,PRKCH,IkappaB kinase,P24723,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000027075,PRKCH,cAMP-dependent protein kinase,P24723,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000027075,PRKCH,cGMP-dependent protein kinase,P24723,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000027075,PRKCH,protein kinase C,P24723,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000027075,PRKCH,Ca2+/calmodulin-dependent protein kinase,P24723,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000027075,PRKCH,polo kinase,P24723,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000027075,PRKCH,cyclin-dependent kinase,P24723,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000027075,PRKCH,mitogen-activated protein kinase,P24723,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000027075,PRKCH,mitogen-activated protein kinase kinase kinase,P24723,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000027075,PRKCH,receptor protein serine/threonine kinase,P24723,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000027075,PRKCH,dual-specificity kinase,P24723,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000027075,PRKCH,mitogen-activated protein kinase kinase,P24723,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000048028,USP28,ubiquitin thiolesterase,Q96RU2,H2O[c] + ubiquitin C terminal thiolester[c] => thiol[c] + ubiquitin[c]
ENSG00000050748,MAPK9,non-specific serine/threonine protein kinase,P45984,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000050748,MAPK9,Fas-activated serine/threonine kinase,P45984,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000050748,MAPK9,Goodpasture-antigen-binding protein kinase,P45984,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000050748,MAPK9,IkappaB kinase,P45984,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000050748,MAPK9,cAMP-dependent protein kinase,P45984,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000050748,MAPK9,cGMP-dependent protein kinase,P45984,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000050748,MAPK9,protein kinase C,P45984,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000050748,MAPK9,Ca2+/calmodulin-dependent protein kinase,P45984,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000050748,MAPK9,polo kinase,P45984,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000050748,MAPK9,cyclin-dependent kinase,P45984,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000050748,MAPK9,mitogen-activated protein kinase,P45984,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000050748,MAPK9,mitogen-activated protein kinase kinase kinase,P45984,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000050748,MAPK9,receptor protein serine/threonine kinase,P45984,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000050748,MAPK9,dual-specificity kinase,P45984,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000050748,MAPK9,mitogen-activated protein kinase kinase,P45984,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000060140,STYK1,receptor protein-tyrosine kinase,Q6J9G0,ATP[c] + [protein]-L-tyrosine[c] => ADP[c] + [protein]-tyrosine-phosphate[c]
ENSG00000060140,STYK1,non-specific protein-tyrosine kinase,Q6J9G0,ATP[c] + [protein]-L-tyrosine[c] => ADP[c] + [protein]-tyrosine-phosphate[c]
ENSG00000060140,STYK1,dual-specificity kinase,Q6J9G0,ATP[c] + [protein]-L-tyrosine[c] => ADP[c] + [protein]-tyrosine-phosphate[c]
ENSG00000060140,STYK1,mitogen-activated protein kinase kinase,Q6J9G0,ATP[c] + [protein]-L-tyrosine[c] => ADP[c] + [protein]-tyrosine-phosphate[c]
ENSG00000060982,BCAT1,branched-chain-amino-acid transaminase,P54687,2-oxo-3-methylvalerate[m] + glutamate[m] <=> AKG[m] + isoleucine[m]
ENSG00000060982,BCAT1,leucine transaminase,P54687,2-oxo-3-methylvalerate[m] + glutamate[m] <=> AKG[m] + isoleucine[m]
ENSG00000060982,BCAT1,branched-chain-amino-acid transaminase,P54687,4-methyl-2-oxopentanoate[m] + glutamate[m] <=> AKG[m] + leucine[m]
ENSG00000060982,BCAT1,leucine transaminase,P54687,4-methyl-2-oxopentanoate[m] + glutamate[m] <=> AKG[m] + leucine[m]
ENSG00000060982,BCAT1,branched-chain-amino-acid transaminase,P54687,AKG[m] + valine[m] => 3-methyl-2-oxobutyrate[m] + glutamate[m]
ENSG00000060982,BCAT1,leucine transaminase,P54687,AKG[m] + valine[m] => 3-methyl-2-oxobutyrate[m] + glutamate[m]
ENSG00000065361,ERBB3,receptor protein-tyrosine kinase,P21860,ATP[c] + [protein]-L-tyrosine[c] => ADP[c] + [protein]-tyrosine-phosphate[c]
ENSG00000065361,ERBB3,non-specific protein-tyrosine kinase,P21860,ATP[c] + [protein]-L-tyrosine[c] => ADP[c] + [protein]-tyrosine-phosphate[c]
ENSG00000065361,ERBB3,dual-specificity kinase,P21860,ATP[c] + [protein]-L-tyrosine[c] => ADP[c] + [protein]-tyrosine-phosphate[c]
ENSG00000065361,ERBB3,mitogen-activated protein kinase kinase,P21860,ATP[c] + [protein]-L-tyrosine[c] => ADP[c] + [protein]-tyrosine-phosphate[c]
ENSG00000066379,ZNRD1,DNA-directed RNA polymerase,Q9P1U0,0.25 ATP[c] + 0.25 CTP[c] + 0.25 GTP[c] + 0.25 UTP[c] => PPi[c] + RNA[c]
ENSG00000066379,ZNRD1,polynucleotide adenylyltransferase,Q9P1U0,0.25 ATP[c] + 0.25 CTP[c] + 0.25 GTP[c] + 0.25 UTP[c] => PPi[c] + RNA[c]
ENSG00000066379,ZNRD1,RNA uridylyltransferase,Q9P1U0,0.25 ATP[c] + 0.25 CTP[c] + 0.25 GTP[c] + 0.25 UTP[c] => PPi[c] + RNA[c]
ENSG00000066468,FGFR2,receptor protein-tyrosine kinase,P21802,ATP[c] + [protein]-L-tyrosine[c] => ADP[c] + [protein]-tyrosine-phosphate[c]
ENSG00000066468,FGFR2,non-specific protein-tyrosine kinase,P21802,ATP[c] + [protein]-L-tyrosine[c] => ADP[c] + [protein]-tyrosine-phosphate[c]
ENSG00000066468,FGFR2,dual-specificity kinase,P21802,ATP[c] + [protein]-L-tyrosine[c] => ADP[c] + [protein]-tyrosine-phosphate[c]
ENSG00000066468,FGFR2,mitogen-activated protein kinase kinase,P21802,ATP[c] + [protein]-L-tyrosine[c] => ADP[c] + [protein]-tyrosine-phosphate[c]
ENSG00000067606,PRKCZ,non-specific serine/threonine protein kinase,Q05513,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000067606,PRKCZ,Fas-activated serine/threonine kinase,Q05513,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000067606,PRKCZ,Goodpasture-antigen-binding protein kinase,Q05513,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000067606,PRKCZ,IkappaB kinase,Q05513,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000067606,PRKCZ,cAMP-dependent protein kinase,Q05513,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000067606,PRKCZ,cGMP-dependent protein kinase,Q05513,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000067606,PRKCZ,protein kinase C,Q05513,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000067606,PRKCZ,Ca2+/calmodulin-dependent protein kinase,Q05513,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000067606,PRKCZ,polo kinase,Q05513,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000067606,PRKCZ,cyclin-dependent kinase,Q05513,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000067606,PRKCZ,mitogen-activated protein kinase,Q05513,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000067606,PRKCZ,mitogen-activated protein kinase kinase kinase,Q05513,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000067606,PRKCZ,receptor protein serine/threonine kinase,Q05513,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000067606,PRKCZ,dual-specificity kinase,Q05513,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000067606,PRKCZ,mitogen-activated protein kinase kinase,Q05513,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000067704,IARS2,Acid--thiol ligases,Q9NSE4,ATP[c] + isoleucine[c] + tRNA(ile)[c] => AMP[c] + L-isoleucyl-tRNA(ile)[c] + PPi[c]
ENSG00000068120,COASY,carbamoyl-phosphate synthase (ammonia),Q13057,2 ATP[m] + CO2[m] + H2O[m] + NH3[m] => 2 ADP[m] + Pi[m] + carbamoyl-phosphate[m]
ENSG00000068120,COASY,dephospho-CoA kinase,Q13057,ATP[c] + dephospho-CoA[c] => ADP[c] + CoA[c]
ENSG00000068120,COASY,pantetheine-phosphate adenylyltransferase,Q13057,ATP[m] + phosphopantetheine[m] => PPi[m] + dephospho-CoA[m]
ENSG00000068120,COASY,dephospho-CoA kinase,Q13057,ATP[m] + dephospho-CoA[m] => ADP[m] + CoA[m]
ENSG00000068120,COASY,pantetheine-phosphate adenylyltransferase,Q13057,ATP[c] + phosphopantetheine[c] <=> PPi[c] + dephospho-CoA[c]
ENSG00000070159,PTPN3,protein-tyrosine-phosphatase,P26045,H2O[c] + [protein]-tyrosine-phosphate[c] => Pi[c] + [protein]-L-tyrosine[c]
ENSG00000070501,POLB,DNA-directed DNA polymerase,P06746,0.25 dATP[c] + 0.25 dCTP[c] + 0.25 dGTP[c] + 0.25 dTTP[c] => DNA[c] + PPi[c]
ENSG00000070526,ST6GALNAC1,"alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase",Q9NSC7,CMP-N-acetylneuraminate[g] + sialyl-T antigen[g] => CMP[g] + disialyl-T antigen[g]
ENSG00000070526,ST6GALNAC1,"alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase",Q9NSC7,CMP-N-acetylneuraminate[g] + Tn-antigen[g] => CMP[g] + sialyl-Tn antigen[g]
ENSG00000071054,MAP4K4,non-specific serine/threonine protein kinase,O95819,ATP[c] + protamine[c] => ADP[c] + O-phosphoprotamine[c]
ENSG00000071054,MAP4K4,non-specific serine/threonine protein kinase,O95819,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000071054,MAP4K4,Fas-activated serine/threonine kinase,O95819,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000071054,MAP4K4,Goodpasture-antigen-binding protein kinase,O95819,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000071054,MAP4K4,IkappaB kinase,O95819,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000071054,MAP4K4,cAMP-dependent protein kinase,O95819,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000071054,MAP4K4,cGMP-dependent protein kinase,O95819,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000071054,MAP4K4,protein kinase C,O95819,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000071054,MAP4K4,Ca2+/calmodulin-dependent protein kinase,O95819,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000071054,MAP4K4,polo kinase,O95819,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000071054,MAP4K4,cyclin-dependent kinase,O95819,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000071054,MAP4K4,mitogen-activated protein kinase,O95819,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000071054,MAP4K4,mitogen-activated protein kinase kinase kinase,O95819,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000071054,MAP4K4,receptor protein serine/threonine kinase,O95819,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000071054,MAP4K4,dual-specificity kinase,O95819,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000071054,MAP4K4,mitogen-activated protein kinase kinase,O95819,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000071794,HLTF,ubiquitin-protein ligase,Q14527,ATP[c] + [protein]-L-lysine[c] + ubiquitin[c] => AMP[c] + PPi[c] + [protein]-N-ubiquityllysine[c]
ENSG00000072609,CHFR,ubiquitin-protein ligase,Q96EP1,ATP[c] + [protein]-L-lysine[c] + ubiquitin[c] => AMP[c] + PPi[c] + [protein]-N-ubiquityllysine[c]
ENSG00000073756,PTGS2,prostaglandin-endoperoxide synthase,P35354,2 H+[c] + prostaglandin G1[c] <=> H2O[r] + prostaglandin H1[c]
ENSG00000073756,PTGS2,prostaglandin-endoperoxide synthase,P35354,2 H+[r] + prostaglandin G1[r] <=> H2O[r] + prostaglandin H1[r]
ENSG00000073756,PTGS2,prostaglandin-endoperoxide synthase,P35354,2 O2[c] + dihomo-gamma-linolenate[c] => prostaglandin G1[c]
ENSG00000073756,PTGS2,prostaglandin-endoperoxide synthase,P35354,2 O2[r] + arachidonate[r] => prostaglandin G2[r]
ENSG00000073756,PTGS2,prostaglandin-endoperoxide synthase,P35354,EPA[c] + O2[c] => 15(R)-HpEPE[c]
ENSG00000073756,PTGS2,prostaglandin-endoperoxide synthase,P35354,2 O2[r] + dihomo-gamma-linolenate[r] => prostaglandin G1[r]
ENSG00000073756,PTGS2,prostaglandin-endoperoxide synthase,P35354,EPA[r] + O2[r] => 15(R)-HpEPE[r]
ENSG00000073756,PTGS2,prostaglandin-endoperoxide synthase,P35354,H+[p] + NADPH[p] + O2[p] + arachidonate[p] => 15(R)-HETE[p] + H2O[p] + NADP+[p]
ENSG00000073756,PTGS2,prostaglandin-endoperoxide synthase,P35354,EPA[c] + H+[c] + NADPH[c] + O2[c] => (18R)-HEPE[c] + H2O[c] + NADP+[c]
ENSG00000073756,PTGS2,prostaglandin-endoperoxide synthase,P35354,EPA[n] + O2[n] => 15(R)-HpEPE[n]
ENSG00000073756,PTGS2,prostaglandin-endoperoxide synthase,P35354,2-arachidonoylglycerol[c] + O2[c] => 12-hydroperoxyeicosatetraenoate-glyceryl-ester[c]
ENSG00000073756,PTGS2,prostaglandin-endoperoxide synthase,P35354,H+[r] + NADPH[r] + O2[r] + arachidonate[r] => 15(R)-HETE[r] + H2O[r] + NADP+[r]
ENSG00000073756,PTGS2,prostaglandin-endoperoxide synthase,P35354,EPA[p] + O2[p] => 15(R)-HpEPE[p]
ENSG00000073756,PTGS2,prostaglandin-endoperoxide synthase,P35354,H+[c] + NADPH[c] + O2[c] + arachidonate[c] => 15(R)-HETE[c] + H2O[c] + NADP+[c]
ENSG00000073849,ST6GAL1,"beta-galactoside alpha-(2,6)-sialyltransferase",P15907,2 CMP-N-acetylneuraminate[g] + l2fn2m2masn[g] => 2 CMP[g] + PA6[g]
ENSG00000074590,NUAK1,non-specific serine/threonine protein kinase,O60285,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000074590,NUAK1,Fas-activated serine/threonine kinase,O60285,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000074590,NUAK1,Goodpasture-antigen-binding protein kinase,O60285,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000074590,NUAK1,IkappaB kinase,O60285,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000074590,NUAK1,cAMP-dependent protein kinase,O60285,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000074590,NUAK1,cGMP-dependent protein kinase,O60285,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000074590,NUAK1,protein kinase C,O60285,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000074590,NUAK1,Ca2+/calmodulin-dependent protein kinase,O60285,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000074590,NUAK1,polo kinase,O60285,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000074590,NUAK1,cyclin-dependent kinase,O60285,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000074590,NUAK1,mitogen-activated protein kinase,O60285,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000074590,NUAK1,mitogen-activated protein kinase kinase kinase,O60285,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
